"Código";"Linha";"Montadora";"Peça";"Aplicação"
"BR-2060A";"Borracha";"Mercedes";"Bucha da algema da mola treseira e do jumelo danteiro (parte traseira) da suspensão subst. espaçador de Interno ø 18,0mm (Sintética) 709 - 912 - 914 - 915 C";"Bucha da algema da mola treseira e do jumelo danteiro (parte traseira) da suspensão subst. espaçador de Interno ø 18,0mm (Sintética) 709 - 912 - 914 - 915 C"
"BR-2062A";"Borracha";"Mercedes";"Bucha do olho da mola dianteiro parte dianteira (sintética) Diâmetro do corpo ø 62,0mm Diâmetro da aba ø 73,0mm Comprimento 96,0mm Interno ø 18,0mm Atego";"Bucha do olho da mola dianteiro parte dianteira (sintética) Diâmetro do corpo ø 62,0mm Diâmetro da aba ø 73,0mm Comprimento 96,0mm Interno ø 18,0mm Atego MB 1315 - 1418 - 1518 1718 -"
"BR-2063A";"Borracha";"Mercedes";"Bucha da mola dianteira parte traseira Diâmetro do corpo ø 55,0mm Diâmetro da aba ø 60,0mm Comprimento 95,0mm Interno ø 19,0mm Atego";"Bucha da mola dianteira parte traseira Diâmetro do corpo ø 55,0mm Diâmetro da aba ø 60,0mm Comprimento 95,0mm Interno ø 19,0mm Atego"
"BR-2091";"Borracha";"Mercedes";"Kit de borracha da barra estabilizadora dianteira (Barra ø 30mm) 2 Peças";"Kit de borracha da barra estabilizadora dianteira (Barra ø 30mm) 2 Peças"
"BR-2091B";"Borracha";"Mercedes";"Kit de borracha da barra estabilizadora dianteira (Barra ø 36mm) 2 Peças";"Kit de borracha da barra estabilizadora dianteira (Barra ø 36mm) 2 Peças"
"BR-2092";"Borracha";"Mercedes";"Kit de borracha da barra estabilizadora dianteira 4 Peças";"Kit de borracha da barra estabilizadora dianteira 4 Peças"
"BR-2093";"Borracha";"Mercedes";"Kit de borracha da barra estabilizadora traseira (Barra ø 40mm) 4 Peças";"Kit de borracha da barra estabilizadora traseira (Barra ø 40mm) 4 Peças"
"BR-2093B";"Borracha";"Mercedes";"Kit de Buchas da Barra Estabilizador traseira (Barra ø 45mm) 4 Peças";"Kit de Buchas da Barra Estabilizador traseira (Barra ø 45mm) 4 Peças"
"BR-2094";"Borracha";"Mercedes";"Kit de borracha da barra estabilizadora dianteira 4 Peças";"Kit de borracha da barra estabilizadora dianteira 4 Peças"
"BR-2095";"Borracha";"Mercedes";"Batente da mola auxiliar da suspensão dianteira Axor";"Batente da mola auxiliar da suspensão dianteira Axor"
"BR-2096";"Borracha";"Mercedes";"Kit de borracha da barra estabilizadora traseira 4 Peças";"Kit de borracha da barra estabilizadora traseira 4 Peças"
"BR-2097";"Borracha";"Mercedes";"Kit de borracha da barra estabilizadora dianteira 2 Peças";"Kit de borracha da barra estabilizadora dianteira 2 Peças"
"BR-2098";"Borracha";"Mercedes";"Borracha coxim do motor";"Borracha coxim do motor MB"
"BR-2099";"Borracha";"Mercedes";"Borracha do olhal inferior do amortecedor traseiro Interno ø 14,0mm Externo ø 38,0mm Accelo";"Borracha do olhal inferior do amortecedor traseiro Interno ø 14,0mm Externo ø 38,0mm Accelo"
