"Código";"Linha";"Montadora";"Peça";"Aplicação"
"BR-3059";"Borracha";"Ford";"Borracha mola traseira parte dianteira Diâmetro da aba ø 65,0mm Diâmetro do corpo ø 55,0mm Interno ø 14,5 mm Comprimento 72,0mm Ranger Moderna 2012 Em Diante";"Borracha mola traseira parte dianteira Diâmetro da aba ø 65,0mm Diâmetro do corpo ø 55,0mm Interno ø 14,5 mm Comprimento 72,0mm Ranger Moderna 2012 Em Diante"
"BR-3061";"Borracha";"Ford";"Borracha da mola traseira parte traseira Diâmetro da aba ø 42,0mm Diâmetro do corpo ø ø 32,0mm Interno ø 18,0mm Comprimento 36,0mm Ranger Moderna 2013 em diante";"Borracha da mola traseira parte traseira Diâmetro da aba ø 42,0mm Diâmetro do corpo ø ø 32,0mm Interno ø 18,0mm Comprimento 36,0mm Ranger Moderna 2013 em diante"
"BR-3062";"Borracha";"Ford";"Calço anti ruido mola traseira Ranger 2012 em diante";"Calço anti ruido mola traseira Ranger 2012 em diante"
"BR-3064";"Borracha";"Ford";"Kit calço da carroceria Ranger de 1998 a 2011";"Kit calço da carroceria Ranger de 1998 a 2011"
"BR-3065";"Borracha";"Ford";"Borracha da mola traseira parte traseira Diâmetro da aba ø 51,0 mm Diâmetro do corpo ø 42,0 mm Interno ø 14,0 mm Comprimento 78,0 mm Ranger Americana 1994 a";"Borracha da mola traseira parte traseira Diâmetro da aba ø 51,0 mm Diâmetro do corpo ø 42,0 mm Interno ø 14,0 mm Comprimento 78,0 mm Ranger Americana 1994 a"
"BR-3066";"Borracha";"Ford";"Borracha da mola traseira parte dianteira Diâmetro da aba ø 41,0 mm Diâmetro do corpo ø 32,0 mm Interno ø 14,0 mm Comprimento 78,0 mm Ranger Americana 1994 a 1997 24";"Borracha da mola traseira parte dianteira Diâmetro da aba ø 41,0 mm Diâmetro do corpo ø 32,0 mm Interno ø 14,0 mm Comprimento 78,0 mm Ranger Americana 1994 a 1997 24"
"BR-3067";"Borracha";"Ford";"Borracha do amortecedor Traseiro Diâmetro da aba ø 30,0mm Diâmetro do corpo ø 27,0mm Interno ø 13,0mm Comprimento 32,0mm Ranger 1998 a 2011 Ranger Americana 1994 a";"Borracha do amortecedor Traseiro Diâmetro da aba ø 30,0mm Diâmetro do corpo ø 27,0mm Interno ø 13,0mm Comprimento 32,0mm Ranger 1998 a 2011 Ranger Americana 1994 a"
"BR-3068";"Borracha";"Ford";"Borracha da Bieleta Diâmetro da aba ø 30,0mm Diâmetro do corpo ø 27,0mm Interno ø 13,0mm Comprimento 32,0mm Ranger Americana";"Borracha da Bieleta Diâmetro da aba ø 30,0mm Diâmetro do corpo ø 27,0mm Interno ø 13,0mm Comprimento 32,0mm Ranger Americana"
"BR-0507A";"Borracha";"Hyundai";"Borracha do olho da mola traseira parte dianteira Interno ø 16,2mm";"Borracha do olho da mola traseira parte dianteira Interno ø 16,2mm Hyundai HR / Bongo"
"BR-0512";"Borracha";"Hyundai";"Borracha da bandeja dianteira superior (maior)";"Borracha da bandeja dianteira superior (maior) Hyundai HR"
"BR-0513";"Borracha";"Hyundai";"Borracha da bandeja dianteira superior (menor)";"Borracha da bandeja dianteira superior (menor) Hyundai HR"
"BR-0614";"Borracha";"Iveco";"Bucha da mola dianteira parte dianteira e traseira parte dianteira Diâmetro do corpo ø 55,0mm Interno ø 20,0mm Comprimento 82,0mm Entre abas ø 67,0mm";"Bucha da mola dianteira parte dianteira e traseira parte dianteira Diâmetro do corpo ø 55,0mm Interno ø 20,0mm Comprimento 82,0mm Entre abas ø 67,0mm Iveco Vertis 9 toneladas"
"BR-0614A";"Borracha";"Iveco";"Bucha da mola traseira parte traseira inferior Diâmetro do corpo ø 45,0mm Interno ø 20,0mm Comprimento 82,0mm Entre abas ø 67,0mm";"Bucha da mola traseira parte traseira inferior Diâmetro do corpo ø 45,0mm Interno ø 20,0mm Comprimento 82,0mm Entre abas ø 67,0mm Iveco Vertis 9 toneladas"
"BR-0614B";"Borracha";"Iveco";"Bucha da mola dianteira parte traseira e traseira parte traseira superior Diâmetro do corpo ø 45,0mm Interno ø 16,0mm Comprimento 82,0mm Entre abas ø 67,0mm";"Bucha da mola dianteira parte traseira e traseira parte traseira superior Diâmetro do corpo ø 45,0mm Interno ø 16,0mm Comprimento 82,0mm Entre abas ø 67,0mm Iveco Vertis 9 toneladas"
"BR-0616";"Borracha";"Iveco";"Bucha da mola traseira";"Bucha da mola traseira Iveco Dailly"
"BR-0617";"Borracha";"Iveco";"Borracha batente dianteiro da suspensão";"Borracha batente dianteiro da suspensão Iveco Cityclass"
"BR-0618";"Borracha";"Iveco";"Bucha da barra estabilizadora traseira";"Bucha da barra estabilizadora traseira Iveco S-170"
"BR-0619";"Borracha";"Iveco";"Borracha menor da barra estabilizadora traseira Interno ø 32,0mm";"Borracha menor da barra estabilizadora traseira Interno ø 32,0mm Iveco Vertis 53"
"BR-0210";"Borracha";"Kia";"Borracha da mola traseira Bi-partida Topic";"Borracha da mola traseira Bi-partida Topic"
"BR-0211";"Borracha";"Kia";"Borracha do facão traseiro Diâmetro do corpo ø 53,0mm Diâmetro da aba ø 62,0mm Entre abas 60,0mm Interno ø 14,0mm Comprimento 70,0mm Besta 2.7 - 2001 em diante";"Borracha do facão traseiro Diâmetro do corpo ø 53,0mm Diâmetro da aba ø 62,0mm Entre abas 60,0mm Interno ø 14,0mm Comprimento 70,0mm Besta 2.7 - 2001 em diante"
"BR-0212";"Borracha";"Kia";"Borracha do facão traseiro Diâmetro do corpo ø 48,0mm Diâmetro da aba ø 58,0mm Entre abas 60,0mm Interno ø 14,0mm Comprimento 70,0mm Besta 2.7 - até 2000";"Borracha do facão traseiro Diâmetro do corpo ø 48,0mm Diâmetro da aba ø 58,0mm Entre abas 60,0mm Interno ø 14,0mm Comprimento 70,0mm Besta 2.7 - até 2000"
"BR-0700A";"Borracha";"Linha leve";"Borracha do amortecedor traseiro superior Doblô";"Borracha do amortecedor traseiro superior Doblô"
"BR-0745";"Borracha";"Linha leve";"Calço da mola traseira especial (Par) Externo maior ø 95 mm Externo menor ø 45 mm Altura 64 mm Sentra 2013 em diante";"Calço da mola traseira especial (Par) Externo maior ø 95 mm Externo menor ø 45 mm Altura 64 mm Sentra 2013 em diante"
"BR-0746";"Borracha";"Linha leve";"Calço da mola traseira especial (Par) Externo maior ø 85 mm Externo menor ø 56 mm Altura 50 mm Spin - Cobalt Prisma 2015 Em Diante Bora - Crossfox - Fox Honda Fit - Hb20 - Audi A3/A4 Polo até 2015 - New Bettle";"Calço da mola traseira especial (Par) Externo maior ø 85 mm Externo menor ø 56 mm Altura 50 mm Spin - Cobalt Prisma 2015 Em Diante Bora - Crossfox - Fox Honda Fit - Hb20 - Audi A3/A4 Polo até 2015 - New Bettle"
"BR-0747";"Borracha";"Linha leve";"Kit de buchas da mola traseira (Kit para os dois lados) 4 Buchas";"Kit de buchas da mola traseira (Kit para os dois lados) 4 Buchas"
"BR-0748";"Borracha";"Linha leve";"Calço da mola traseira especial (Par) Externo maior ø 100 mm Externo menor ø 65 mm Altura 60 mm";"Calço da mola traseira especial (Par) Externo maior ø 100 mm Externo menor ø 65 mm Altura 60 mm Nissan Versa - Nissan March Hyundai Sonatta - Fiat Linea - Toyota Etios e Etios Sedan"
"BR-0749";"Borracha";"Linha leve";"Calço da mola traseira especial (Par) Sob medida";"Calço da mola traseira especial (Par) Sob medida"
"BR-0750";"Borracha";"Linha leve";"Borracha do amortecedor traseiro superior e inferior Fiat Strada (todas)";"Borracha do amortecedor traseiro superior e inferior Fiat Strada (todas)"
"BR-0751";"Borracha";"Linha leve";"Calço da mola traseira especial (Par) Externo maior ø 95 mm Externo menor ø 52 mm ltura 60 mm Spacefox - Virtus Golf - Polo 2016 em diante";"Calço da mola traseira especial (Par) Externo maior ø 95 mm Externo menor ø 52 mm ltura 60 mm Spacefox - Virtus Golf - Polo 2016 em diante"
"BR-0752";"Borracha";"Linha leve";"Calço da mola traseira especial (Par) Externo maior ø 102 mm Externo menor ø 81 mm Altura 60 mm Gol G2 - G3 - G4 - G5 - G6 - G7 Voyage 2013 em diante";"Calço da mola traseira especial (Par) Externo maior ø 102 mm Externo menor ø 81 mm Altura 60 mm Gol G2 - G3 - G4 - G5 - G6 - G7 Voyage 2013 em diante"
"BR-0753";"Borracha";"Linha leve";"Borracha do tirante JPX 58";"Borracha do tirante JPX 58"
